Rank,date,fullName,nationality
1,2018-08-23,Shakib Al Hasan,BAN
2,2018-08-23,Mohammad Nabi,AFG
3,2018-08-23,Mohammad Hafeez,PAK
4,2018-08-23,Mitchell Santner,NZ
5,2018-08-23,Angelo Mathews,SL
6,2018-08-23,Moeen Ali,ENG
7,2018-08-23,Rashid Khan,AFG
8,2018-08-23,Chris Woakes,ENG
9,2018-08-23,Jason Holder,WI
10,2018-08-23,Mitchell Marsh,AUS
11,2018-08-23,Sikandar Raza,ZIM
12,2018-08-23,James Faulkner,AUS
13,2018-08-23,Ben Stokes,ENG
14,2018-08-23,Adil Rashid,ENG
15,2018-08-23,Hardik Pandya,IND
16,2018-08-23,Kevin O'Brien,IRE
17,2018-08-23,Joe Root,ENG
18,2018-08-23,Imad Wasim,PAK
19,2018-08-23,Kane Williamson,NZ
20,2018-08-23,Paul Stirling,IRE
1,2018-08-24,Shakib Al Hasan,BAN
2,2018-08-24,Mohammad Nabi,AFG
3,2018-08-24,Mohammad Hafeez,PAK
4,2018-08-24,Mitchell Santner,NZ
5,2018-08-24,Angelo Mathews,SL
6,2018-08-24,Moeen Ali,ENG
7,2018-08-24,Rashid Khan,AFG
8,2018-08-24,Chris Woakes,ENG
9,2018-08-24,Jason Holder,WI
10,2018-08-24,Mitchell Marsh,AUS
11,2018-08-24,Sikandar Raza,ZIM
12,2018-08-24,James Faulkner,AUS
13,2018-08-24,Ben Stokes,ENG
14,2018-08-24,Adil Rashid,ENG
15,2018-08-24,Hardik Pandya,IND
16,2018-08-24,Kevin O'Brien,IRE
17,2018-08-24,Joe Root,ENG
18,2018-08-24,Imad Wasim,PAK
19,2018-08-24,Kane Williamson,NZ
20,2018-08-24,Paul Stirling,IRE
1,2018-08-25,Shakib Al Hasan,BAN
2,2018-08-25,Mohammad Nabi,AFG
3,2018-08-25,Mohammad Hafeez,PAK
4,2018-08-25,Mitchell Santner,NZ
5,2018-08-25,Angelo Mathews,SL
6,2018-08-25,Moeen Ali,ENG
7,2018-08-25,Rashid Khan,AFG
8,2018-08-25,Chris Woakes,ENG
9,2018-08-25,Jason Holder,WI
10,2018-08-25,Mitchell Marsh,AUS
11,2018-08-25,Sikandar Raza,ZIM
12,2018-08-25,James Faulkner,AUS
13,2018-08-25,Ben Stokes,ENG
14,2018-08-25,Adil Rashid,ENG
15,2018-08-25,Hardik Pandya,IND
16,2018-08-25,Kevin O'Brien,IRE
17,2018-08-25,Joe Root,ENG
18,2018-08-25,Imad Wasim,PAK
19,2018-08-25,Kane Williamson,NZ
20,2018-08-25,Paul Stirling,IRE
1,2018-08-26,Shakib Al Hasan,BAN
2,2018-08-26,Mohammad Nabi,AFG
3,2018-08-26,Mohammad Hafeez,PAK
4,2018-08-26,Mitchell Santner,NZ
5,2018-08-26,Angelo Mathews,SL
6,2018-08-26,Moeen Ali,ENG
7,2018-08-26,Rashid Khan,AFG
8,2018-08-26,Chris Woakes,ENG
9,2018-08-26,Jason Holder,WI
10,2018-08-26,Mitchell Marsh,AUS
11,2018-08-26,Sikandar Raza,ZIM
12,2018-08-26,James Faulkner,AUS
13,2018-08-26,Ben Stokes,ENG
14,2018-08-26,Adil Rashid,ENG
15,2018-08-26,Hardik Pandya,IND
16,2018-08-26,Kevin O'Brien,IRE
17,2018-08-26,Joe Root,ENG
18,2018-08-26,Imad Wasim,PAK
19,2018-08-26,Kane Williamson,NZ
20,2018-08-26,Paul Stirling,IRE
1,2018-08-27,Shakib Al Hasan,BAN
2,2018-08-27,Mohammad Hafeez,PAK
3,2018-08-27,Mohammad Nabi,AFG
4,2018-08-27,Mitchell Santner,NZ
5,2018-08-27,Angelo Mathews,SL
6,2018-08-27,Moeen Ali,ENG
7,2018-08-27,Rashid Khan,AFG
8,2018-08-27,Chris Woakes,ENG
9,2018-08-27,Jason Holder,WI
10,2018-08-27,Mitchell Marsh,AUS
11,2018-08-27,Sikandar Raza,ZIM
12,2018-08-27,James Faulkner,AUS
13,2018-08-27,Ben Stokes,ENG
14,2018-08-27,Adil Rashid,ENG
15,2018-08-27,Hardik Pandya,IND
16,2018-08-27,Kevin O'Brien,IRE
17,2018-08-27,Joe Root,ENG
18,2018-08-27,Imad Wasim,PAK
19,2018-08-27,Kane Williamson,NZ
20,2018-08-27,Kagiso Rabada,SA
1,2018-08-28,Shakib Al Hasan,BAN
2,2018-08-28,Mohammad Hafeez,PAK
3,2018-08-28,Mohammad Nabi,AFG
4,2018-08-28,Mitchell Santner,NZ
5,2018-08-28,Angelo Mathews,SL
6,2018-08-28,Moeen Ali,ENG
7,2018-08-28,Rashid Khan,AFG
8,2018-08-28,Chris Woakes,ENG
9,2018-08-28,Jason Holder,WI
10,2018-08-28,Mitchell Marsh,AUS
11,2018-08-28,Sikandar Raza,ZIM
12,2018-08-28,James Faulkner,AUS
13,2018-08-28,Ben Stokes,ENG
14,2018-08-28,Adil Rashid,ENG
15,2018-08-28,Hardik Pandya,IND
16,2018-08-28,Kevin O'Brien,IRE
17,2018-08-28,Joe Root,ENG
18,2018-08-28,Imad Wasim,PAK
19,2018-08-28,Kane Williamson,NZ
20,2018-08-28,Kagiso Rabada,SA
1,2018-08-29,Shakib Al Hasan,BAN
2,2018-08-29,Mohammad Hafeez,PAK
3,2018-08-29,Mitchell Santner,NZ
4,2018-08-29,Mohammad Nabi,AFG
5,2018-08-29,Angelo Mathews,SL
6,2018-08-29,Moeen Ali,ENG
7,2018-08-29,Rashid Khan,AFG
8,2018-08-29,Chris Woakes,ENG
9,2018-08-29,Jason Holder,WI
10,2018-08-29,Mitchell Marsh,AUS
11,2018-08-29,Sikandar Raza,ZIM
12,2018-08-29,James Faulkner,AUS
13,2018-08-29,Ben Stokes,ENG
14,2018-08-29,Adil Rashid,ENG
15,2018-08-29,Hardik Pandya,IND
16,2018-08-29,Kevin O'Brien,IRE
17,2018-08-29,Joe Root,ENG
18,2018-08-29,Imad Wasim,PAK
19,2018-08-29,Kane Williamson,NZ
20,2018-08-29,Kagiso Rabada,SA
1,2018-08-30,Shakib Al Hasan,BAN
2,2018-08-30,Mohammad Hafeez,PAK
3,2018-08-30,Mitchell Santner,NZ
4,2018-08-30,Mohammad Nabi,AFG
5,2018-08-30,Angelo Mathews,SL
6,2018-08-30,Moeen Ali,ENG
7,2018-08-30,Rashid Khan,AFG
8,2018-08-30,Chris Woakes,ENG
9,2018-08-30,Jason Holder,WI
10,2018-08-30,Mitchell Marsh,AUS
11,2018-08-30,Sikandar Raza,ZIM
12,2018-08-30,James Faulkner,AUS
13,2018-08-30,Ben Stokes,ENG
14,2018-08-30,Adil Rashid,ENG
15,2018-08-30,Hardik Pandya,IND
16,2018-08-30,Kevin O'Brien,IRE
17,2018-08-30,Joe Root,ENG
18,2018-08-30,Imad Wasim,PAK
19,2018-08-30,Kane Williamson,NZ
20,2018-08-30,Kagiso Rabada,SA
1,2018-08-31,Shakib Al Hasan,BAN
2,2018-08-31,Mohammad Hafeez,PAK
3,2018-08-31,Mitchell Santner,NZ
4,2018-08-31,Mohammad Nabi,AFG
5,2018-08-31,Angelo Mathews,SL
6,2018-08-31,Moeen Ali,ENG
7,2018-08-31,Rashid Khan,AFG
8,2018-08-31,Chris Woakes,ENG
9,2018-08-31,Jason Holder,WI
10,2018-08-31,Mitchell Marsh,AUS
11,2018-08-31,Sikandar Raza,ZIM
12,2018-08-31,James Faulkner,AUS
13,2018-08-31,Ben Stokes,ENG
14,2018-08-31,Adil Rashid,ENG
15,2018-08-31,Hardik Pandya,IND
16,2018-08-31,Kevin O'Brien,IRE
17,2018-08-31,Joe Root,ENG
18,2018-08-31,Imad Wasim,PAK
19,2018-08-31,Kane Williamson,NZ
20,2018-08-31,Kagiso Rabada,SA
1,2018-09-01,Shakib Al Hasan,BAN
2,2018-09-01,Mohammad Hafeez,PAK
3,2018-09-01,Mitchell Santner,NZ
4,2018-09-01,Mohammad Nabi,AFG
5,2018-09-01,Angelo Mathews,SL
6,2018-09-01,Moeen Ali,ENG
7,2018-09-01,Rashid Khan,AFG
8,2018-09-01,Chris Woakes,ENG
9,2018-09-01,Jason Holder,WI
10,2018-09-01,Mitchell Marsh,AUS
11,2018-09-01,Sikandar Raza,ZIM
12,2018-09-01,James Faulkner,AUS
13,2018-09-01,Ben Stokes,ENG
14,2018-09-01,Adil Rashid,ENG
15,2018-09-01,Hardik Pandya,IND
16,2018-09-01,Kevin O'Brien,IRE
17,2018-09-01,Joe Root,ENG
18,2018-09-01,Imad Wasim,PAK
19,2018-09-01,Kane Williamson,NZ
20,2018-09-01,Kagiso Rabada,SA
1,2018-09-02,Shakib Al Hasan,BAN
2,2018-09-02,Mohammad Hafeez,PAK
3,2018-09-02,Mitchell Santner,NZ
4,2018-09-02,Mohammad Nabi,AFG
5,2018-09-02,Angelo Mathews,SL
6,2018-09-02,Moeen Ali,ENG
7,2018-09-02,Rashid Khan,AFG
8,2018-09-02,Chris Woakes,ENG
9,2018-09-02,Jason Holder,WI
10,2018-09-02,Mitchell Marsh,AUS
11,2018-09-02,Sikandar Raza,ZIM
12,2018-09-02,James Faulkner,AUS
13,2018-09-02,Ben Stokes,ENG
14,2018-09-02,Adil Rashid,ENG
15,2018-09-02,Hardik Pandya,IND
16,2018-09-02,Kevin O'Brien,IRE
17,2018-09-02,Joe Root,ENG
18,2018-09-02,Imad Wasim,PAK
19,2018-09-02,Kane Williamson,NZ
20,2018-09-02,Kagiso Rabada,SA
1,2018-09-03,Shakib Al Hasan,BAN
2,2018-09-03,Mohammad Hafeez,PAK
3,2018-09-03,Mitchell Santner,NZ
4,2018-09-03,Mohammad Nabi,AFG
5,2018-09-03,Angelo Mathews,SL
6,2018-09-03,Moeen Ali,ENG
7,2018-09-03,Rashid Khan,AFG
8,2018-09-03,Chris Woakes,ENG
9,2018-09-03,Jason Holder,WI
10,2018-09-03,Mitchell Marsh,AUS
11,2018-09-03,Sikandar Raza,ZIM
12,2018-09-03,James Faulkner,AUS
13,2018-09-03,Ben Stokes,ENG
14,2018-09-03,Adil Rashid,ENG
15,2018-09-03,Hardik Pandya,IND
16,2018-09-03,Kevin O'Brien,IRE
17,2018-09-03,Joe Root,ENG
18,2018-09-03,Imad Wasim,PAK
19,2018-09-03,Kane Williamson,NZ
20,2018-09-03,Kagiso Rabada,SA
1,2018-09-04,Shakib Al Hasan,BAN
2,2018-09-04,Mohammad Hafeez,PAK
3,2018-09-04,Mitchell Santner,NZ
4,2018-09-04,Mohammad Nabi,AFG
5,2018-09-04,Angelo Mathews,SL
6,2018-09-04,Moeen Ali,ENG
7,2018-09-04,Rashid Khan,AFG
8,2018-09-04,Chris Woakes,ENG
9,2018-09-04,Jason Holder,WI
10,2018-09-04,Mitchell Marsh,AUS
11,2018-09-04,Sikandar Raza,ZIM
12,2018-09-04,James Faulkner,AUS
13,2018-09-04,Ben Stokes,ENG
14,2018-09-04,Adil Rashid,ENG
15,2018-09-04,Hardik Pandya,IND
16,2018-09-04,Kevin O'Brien,IRE
17,2018-09-04,Joe Root,ENG
18,2018-09-04,Imad Wasim,PAK
19,2018-09-04,Kane Williamson,NZ
20,2018-09-04,Kagiso Rabada,SA
1,2018-09-05,Shakib Al Hasan,BAN
2,2018-09-05,Mohammad Hafeez,PAK
3,2018-09-05,Mitchell Santner,NZ
4,2018-09-05,Mohammad Nabi,AFG
5,2018-09-05,Angelo Mathews,SL
6,2018-09-05,Moeen Ali,ENG
7,2018-09-05,Rashid Khan,AFG
8,2018-09-05,Chris Woakes,ENG
9,2018-09-05,Jason Holder,WI
10,2018-09-05,Mitchell Marsh,AUS
11,2018-09-05,Sikandar Raza,ZIM
12,2018-09-05,James Faulkner,AUS
13,2018-09-05,Ben Stokes,ENG
14,2018-09-05,Adil Rashid,ENG
15,2018-09-05,Hardik Pandya,IND
16,2018-09-05,Kevin O'Brien,IRE
17,2018-09-05,Joe Root,ENG
18,2018-09-05,Imad Wasim,PAK
19,2018-09-05,Kane Williamson,NZ
20,2018-09-05,Kagiso Rabada,SA
1,2018-09-06,Shakib Al Hasan,BAN
2,2018-09-06,Mohammad Hafeez,PAK
3,2018-09-06,Mitchell Santner,NZ
4,2018-09-06,Mohammad Nabi,AFG
5,2018-09-06,Angelo Mathews,SL
6,2018-09-06,Moeen Ali,ENG
7,2018-09-06,Rashid Khan,AFG
8,2018-09-06,Chris Woakes,ENG
9,2018-09-06,Jason Holder,WI
10,2018-09-06,Mitchell Marsh,AUS
11,2018-09-06,Sikandar Raza,ZIM
12,2018-09-06,James Faulkner,AUS
13,2018-09-06,Ben Stokes,ENG
14,2018-09-06,Adil Rashid,ENG
15,2018-09-06,Hardik Pandya,IND
16,2018-09-06,Kevin O'Brien,IRE
17,2018-09-06,Joe Root,ENG
18,2018-09-06,Imad Wasim,PAK
19,2018-09-06,Kane Williamson,NZ
20,2018-09-06,Kagiso Rabada,SA
1,2018-09-07,Shakib Al Hasan,BAN
2,2018-09-07,Mohammad Hafeez,PAK
3,2018-09-07,Mitchell Santner,NZ
4,2018-09-07,Mohammad Nabi,AFG
5,2018-09-07,Angelo Mathews,SL
6,2018-09-07,Moeen Ali,ENG
7,2018-09-07,Rashid Khan,AFG
8,2018-09-07,Chris Woakes,ENG
9,2018-09-07,Jason Holder,WI
10,2018-09-07,Mitchell Marsh,AUS
11,2018-09-07,Sikandar Raza,ZIM
12,2018-09-07,James Faulkner,AUS
13,2018-09-07,Ben Stokes,ENG
14,2018-09-07,Adil Rashid,ENG
15,2018-09-07,Hardik Pandya,IND
16,2018-09-07,Kevin O'Brien,IRE
17,2018-09-07,Joe Root,ENG
18,2018-09-07,Imad Wasim,PAK
19,2018-09-07,Kane Williamson,NZ
20,2018-09-07,Kagiso Rabada,SA
1,2018-09-08,Shakib Al Hasan,BAN
2,2018-09-08,Mohammad Hafeez,PAK
3,2018-09-08,Mitchell Santner,NZ
4,2018-09-08,Mohammad Nabi,AFG
5,2018-09-08,Angelo Mathews,SL
6,2018-09-08,Moeen Ali,ENG
7,2018-09-08,Rashid Khan,AFG
8,2018-09-08,Chris Woakes,ENG
9,2018-09-08,Jason Holder,WI
10,2018-09-08,Mitchell Marsh,AUS
11,2018-09-08,Sikandar Raza,ZIM
12,2018-09-08,James Faulkner,AUS
13,2018-09-08,Ben Stokes,ENG
14,2018-09-08,Adil Rashid,ENG
15,2018-09-08,Hardik Pandya,IND
16,2018-09-08,Kevin O'Brien,IRE
17,2018-09-08,Joe Root,ENG
18,2018-09-08,Imad Wasim,PAK
19,2018-09-08,Kane Williamson,NZ
20,2018-09-08,Kagiso Rabada,SA
1,2018-09-09,Shakib Al Hasan,BAN
2,2018-09-09,Mohammad Hafeez,PAK
3,2018-09-09,Mitchell Santner,NZ
4,2018-09-09,Mohammad Nabi,AFG
5,2018-09-09,Angelo Mathews,SL
6,2018-09-09,Moeen Ali,ENG
7,2018-09-09,Rashid Khan,AFG
8,2018-09-09,Chris Woakes,ENG
9,2018-09-09,Jason Holder,WI
10,2018-09-09,Mitchell Marsh,AUS
11,2018-09-09,Sikandar Raza,ZIM
12,2018-09-09,James Faulkner,AUS
13,2018-09-09,Ben Stokes,ENG
14,2018-09-09,Adil Rashid,ENG
15,2018-09-09,Hardik Pandya,IND
16,2018-09-09,Kevin O'Brien,IRE
17,2018-09-09,Joe Root,ENG
18,2018-09-09,Imad Wasim,PAK
19,2018-09-09,Kane Williamson,NZ
20,2018-09-09,Kagiso Rabada,SA
1,2018-09-10,Shakib Al Hasan,BAN
2,2018-09-10,Mohammad Hafeez,PAK
3,2018-09-10,Mitchell Santner,NZ
4,2018-09-10,Mohammad Nabi,AFG
5,2018-09-10,Angelo Mathews,SL
6,2018-09-10,Moeen Ali,ENG
7,2018-09-10,Rashid Khan,AFG
8,2018-09-10,Chris Woakes,ENG
9,2018-09-10,Jason Holder,WI
10,2018-09-10,Mitchell Marsh,AUS
11,2018-09-10,Sikandar Raza,ZIM
12,2018-09-10,James Faulkner,AUS
13,2018-09-10,Ben Stokes,ENG
14,2018-09-10,Adil Rashid,ENG
15,2018-09-10,Hardik Pandya,IND
16,2018-09-10,Kevin O'Brien,IRE
17,2018-09-10,Joe Root,ENG
18,2018-09-10,Imad Wasim,PAK
19,2018-09-10,Kane Williamson,NZ
20,2018-09-10,Kagiso Rabada,SA
1,2018-09-11,Shakib Al Hasan,BAN
2,2018-09-11,Mohammad Hafeez,PAK
3,2018-09-11,Mitchell Santner,NZ
4,2018-09-11,Mohammad Nabi,AFG
5,2018-09-11,Angelo Mathews,SL
6,2018-09-11,Moeen Ali,ENG
7,2018-09-11,Rashid Khan,AFG
8,2018-09-11,Chris Woakes,ENG
9,2018-09-11,Jason Holder,WI
10,2018-09-11,Mitchell Marsh,AUS
11,2018-09-11,Sikandar Raza,ZIM
12,2018-09-11,James Faulkner,AUS
13,2018-09-11,Ben Stokes,ENG
14,2018-09-11,Adil Rashid,ENG
15,2018-09-11,Hardik Pandya,IND
16,2018-09-11,Kevin O'Brien,IRE
17,2018-09-11,Joe Root,ENG
18,2018-09-11,Imad Wasim,PAK
19,2018-09-11,Kane Williamson,NZ
20,2018-09-11,Kagiso Rabada,SA
1,2018-09-12,Shakib Al Hasan,BAN
2,2018-09-12,Mohammad Hafeez,PAK
3,2018-09-12,Mitchell Santner,NZ
4,2018-09-12,Mohammad Nabi,AFG
5,2018-09-12,Angelo Mathews,SL
6,2018-09-12,Moeen Ali,ENG
7,2018-09-12,Rashid Khan,AFG
8,2018-09-12,Chris Woakes,ENG
9,2018-09-12,Jason Holder,WI
10,2018-09-12,Mitchell Marsh,AUS
11,2018-09-12,Sikandar Raza,ZIM
12,2018-09-12,James Faulkner,AUS
13,2018-09-12,Ben Stokes,ENG
14,2018-09-12,Adil Rashid,ENG
15,2018-09-12,Hardik Pandya,IND
16,2018-09-12,Kevin O'Brien,IRE
17,2018-09-12,Joe Root,ENG
18,2018-09-12,Imad Wasim,PAK
19,2018-09-12,Kane Williamson,NZ
20,2018-09-12,Kagiso Rabada,SA
1,2018-09-13,Shakib Al Hasan,BAN
2,2018-09-13,Mohammad Hafeez,PAK
3,2018-09-13,Mitchell Santner,NZ
4,2018-09-13,Mohammad Nabi,AFG
5,2018-09-13,Angelo Mathews,SL
6,2018-09-13,Moeen Ali,ENG
7,2018-09-13,Rashid Khan,AFG
8,2018-09-13,Chris Woakes,ENG
9,2018-09-13,Jason Holder,WI
10,2018-09-13,Mitchell Marsh,AUS
11,2018-09-13,Sikandar Raza,ZIM
12,2018-09-13,James Faulkner,AUS
13,2018-09-13,Ben Stokes,ENG
14,2018-09-13,Adil Rashid,ENG
15,2018-09-13,Hardik Pandya,IND
16,2018-09-13,Kevin O'Brien,IRE
17,2018-09-13,Joe Root,ENG
18,2018-09-13,Imad Wasim,PAK
19,2018-09-13,Kane Williamson,NZ
20,2018-09-13,Kagiso Rabada,SA
1,2018-09-14,Shakib Al Hasan,BAN
2,2018-09-14,Mohammad Hafeez,PAK
3,2018-09-14,Mitchell Santner,NZ
4,2018-09-14,Mohammad Nabi,AFG
5,2018-09-14,Angelo Mathews,SL
6,2018-09-14,Moeen Ali,ENG
7,2018-09-14,Rashid Khan,AFG
8,2018-09-14,Chris Woakes,ENG
9,2018-09-14,Jason Holder,WI
10,2018-09-14,Mitchell Marsh,AUS
11,2018-09-14,Sikandar Raza,ZIM
12,2018-09-14,James Faulkner,AUS
13,2018-09-14,Ben Stokes,ENG
14,2018-09-14,Adil Rashid,ENG
15,2018-09-14,Hardik Pandya,IND
16,2018-09-14,Kevin O'Brien,IRE
17,2018-09-14,Joe Root,ENG
18,2018-09-14,Imad Wasim,PAK
19,2018-09-14,Kane Williamson,NZ
20,2018-09-14,Kagiso Rabada,SA
1,2018-09-15,Shakib Al Hasan,BAN
2,2018-09-15,Mohammad Hafeez,PAK
3,2018-09-15,Mitchell Santner,NZ
4,2018-09-15,Mohammad Nabi,AFG
5,2018-09-15,Moeen Ali,ENG
6,2018-09-15,Angelo Mathews,SL
7,2018-09-15,Rashid Khan,AFG
8,2018-09-15,Chris Woakes,ENG
9,2018-09-15,Jason Holder,WI
10,2018-09-15,Mitchell Marsh,AUS
11,2018-09-15,Sikandar Raza,ZIM
12,2018-09-15,James Faulkner,AUS
13,2018-09-15,Ben Stokes,ENG
14,2018-09-15,Adil Rashid,ENG
15,2018-09-15,Hardik Pandya,IND
16,2018-09-15,Kevin O'Brien,IRE
17,2018-09-15,Joe Root,ENG
18,2018-09-15,Imad Wasim,PAK
19,2018-09-15,Kane Williamson,NZ
20,2018-09-15,Kagiso Rabada,SA
1,2018-09-16,Shakib Al Hasan,BAN
2,2018-09-16,Mohammad Hafeez,PAK
3,2018-09-16,Mitchell Santner,NZ
4,2018-09-16,Mohammad Nabi,AFG
5,2018-09-16,Moeen Ali,ENG
6,2018-09-16,Angelo Mathews,SL
7,2018-09-16,Rashid Khan,AFG
8,2018-09-16,Chris Woakes,ENG
9,2018-09-16,Jason Holder,WI
10,2018-09-16,Mitchell Marsh,AUS
11,2018-09-16,Sikandar Raza,ZIM
12,2018-09-16,James Faulkner,AUS
13,2018-09-16,Ben Stokes,ENG
14,2018-09-16,Adil Rashid,ENG
15,2018-09-16,Hardik Pandya,IND
16,2018-09-16,Kevin O'Brien,IRE
17,2018-09-16,Joe Root,ENG
18,2018-09-16,Kane Williamson,NZ
19,2018-09-16,Imad Wasim,PAK
20,2018-09-16,Kagiso Rabada,SA
1,2018-09-17,Shakib Al Hasan,BAN
2,2018-09-17,Mohammad Nabi,AFG
3,2018-09-17,Mohammad Hafeez,PAK
4,2018-09-17,Mitchell Santner,NZ
5,2018-09-17,Moeen Ali,ENG
6,2018-09-17,Angelo Mathews,SL
7,2018-09-17,Rashid Khan,AFG
8,2018-09-17,Chris Woakes,ENG
9,2018-09-17,Jason Holder,WI
10,2018-09-17,Mitchell Marsh,AUS
11,2018-09-17,Sikandar Raza,ZIM
12,2018-09-17,James Faulkner,AUS
13,2018-09-17,Ben Stokes,ENG
14,2018-09-17,Adil Rashid,ENG
15,2018-09-17,Hardik Pandya,IND
16,2018-09-17,Kevin O'Brien,IRE
17,2018-09-17,Joe Root,ENG
18,2018-09-17,Kane Williamson,NZ
19,2018-09-17,Imad Wasim,PAK
20,2018-09-17,Kagiso Rabada,SA
1,2018-09-18,Shakib Al Hasan,BAN
2,2018-09-18,Mohammad Nabi,AFG
3,2018-09-18,Mohammad Hafeez,PAK
4,2018-09-18,Mitchell Santner,NZ
5,2018-09-18,Moeen Ali,ENG
6,2018-09-18,Angelo Mathews,SL
7,2018-09-18,Rashid Khan,AFG
8,2018-09-18,Chris Woakes,ENG
9,2018-09-18,Jason Holder,WI
10,2018-09-18,Mitchell Marsh,AUS
11,2018-09-18,Sikandar Raza,ZIM
12,2018-09-18,James Faulkner,AUS
13,2018-09-18,Ben Stokes,ENG
14,2018-09-18,Adil Rashid,ENG
15,2018-09-18,Hardik Pandya,IND
16,2018-09-18,Kevin O'Brien,IRE
17,2018-09-18,Joe Root,ENG
18,2018-09-18,Kane Williamson,NZ
19,2018-09-18,Imad Wasim,PAK
20,2018-09-18,Kagiso Rabada,SA
1,2018-09-19,Shakib Al Hasan,BAN
2,2018-09-19,Mohammad Nabi,AFG
3,2018-09-19,Mitchell Santner,NZ
4,2018-09-19,Mohammad Hafeez,PAK
5,2018-09-19,Moeen Ali,ENG
6,2018-09-19,Angelo Mathews,SL
7,2018-09-19,Rashid Khan,AFG
8,2018-09-19,Chris Woakes,ENG
9,2018-09-19,Jason Holder,WI
10,2018-09-19,Mitchell Marsh,AUS
11,2018-09-19,Sikandar Raza,ZIM
12,2018-09-19,James Faulkner,AUS
13,2018-09-19,Ben Stokes,ENG
14,2018-09-19,Adil Rashid,ENG
15,2018-09-19,Hardik Pandya,IND
16,2018-09-19,Kevin O'Brien,IRE
17,2018-09-19,Joe Root,ENG
18,2018-09-19,Kane Williamson,NZ
19,2018-09-19,Imad Wasim,PAK
20,2018-09-19,Kagiso Rabada,SA
1,2018-09-20,Shakib Al Hasan,BAN
2,2018-09-20,Rashid Khan,AFG
3,2018-09-20,Mohammad Nabi,AFG
4,2018-09-20,Mitchell Santner,NZ
5,2018-09-20,Mohammad Hafeez,PAK
6,2018-09-20,Moeen Ali,ENG
7,2018-09-20,Angelo Mathews,SL
8,2018-09-20,Chris Woakes,ENG
9,2018-09-20,Jason Holder,WI
10,2018-09-20,Mitchell Marsh,AUS
11,2018-09-20,Sikandar Raza,ZIM
12,2018-09-20,James Faulkner,AUS
13,2018-09-20,Ben Stokes,ENG
14,2018-09-20,Adil Rashid,ENG
15,2018-09-20,Hardik Pandya,IND
16,2018-09-20,Kevin O'Brien,IRE
17,2018-09-20,Joe Root,ENG
18,2018-09-20,Kane Williamson,NZ
19,2018-09-20,Imad Wasim,PAK
20,2018-09-20,Kagiso Rabada,SA
1,2018-09-21,Shakib Al Hasan,BAN
2,2018-09-21,Rashid Khan,AFG
3,2018-09-21,Mohammad Nabi,AFG
4,2018-09-21,Mitchell Santner,NZ
5,2018-09-21,Mohammad Hafeez,PAK
6,2018-09-21,Moeen Ali,ENG
7,2018-09-21,Angelo Mathews,SL
8,2018-09-21,Chris Woakes,ENG
9,2018-09-21,Jason Holder,WI
10,2018-09-21,Mitchell Marsh,AUS
11,2018-09-21,Sikandar Raza,ZIM
12,2018-09-21,James Faulkner,AUS
13,2018-09-21,Ben Stokes,ENG
14,2018-09-21,Adil Rashid,ENG
15,2018-09-21,Hardik Pandya,IND
16,2018-09-21,Kevin O'Brien,IRE
17,2018-09-21,Joe Root,ENG
18,2018-09-21,Kane Williamson,NZ
19,2018-09-21,Kagiso Rabada,SA
20,2018-09-21,Imad Wasim,PAK
1,2018-09-22,Shakib Al Hasan,BAN
2,2018-09-22,Rashid Khan,AFG
3,2018-09-22,Mohammad Nabi,AFG
4,2018-09-22,Mitchell Santner,NZ
5,2018-09-22,Mohammad Hafeez,PAK
6,2018-09-22,Moeen Ali,ENG
7,2018-09-22,Angelo Mathews,SL
8,2018-09-22,Chris Woakes,ENG
9,2018-09-22,Jason Holder,WI
10,2018-09-22,Mitchell Marsh,AUS
11,2018-09-22,Sikandar Raza,ZIM
12,2018-09-22,James Faulkner,AUS
13,2018-09-22,Ben Stokes,ENG
14,2018-09-22,Adil Rashid,ENG
15,2018-09-22,Hardik Pandya,IND
16,2018-09-22,Kevin O'Brien,IRE
17,2018-09-22,Joe Root,ENG
18,2018-09-22,Kane Williamson,NZ
19,2018-09-22,Kagiso Rabada,SA
20,2018-09-22,Imad Wasim,PAK
1,2018-09-23,Rashid Khan,AFG
2,2018-09-23,Shakib Al Hasan,BAN
3,2018-09-23,Mohammad Nabi,AFG
4,2018-09-23,Mitchell Santner,NZ
5,2018-09-23,Mohammad Hafeez,PAK
6,2018-09-23,Moeen Ali,ENG
7,2018-09-23,Angelo Mathews,SL
8,2018-09-23,Chris Woakes,ENG
9,2018-09-23,Jason Holder,WI
10,2018-09-23,Mitchell Marsh,AUS
11,2018-09-23,Sikandar Raza,ZIM
12,2018-09-23,James Faulkner,AUS
13,2018-09-23,Ben Stokes,ENG
14,2018-09-23,Adil Rashid,ENG
15,2018-09-23,Hardik Pandya,IND
16,2018-09-23,Kevin O'Brien,IRE
17,2018-09-23,Joe Root,ENG
18,2018-09-23,Shoaib Malik,PAK
19,2018-09-23,Kane Williamson,NZ
20,2018-09-23,Kagiso Rabada,SA
1,2018-09-24,Rashid Khan,AFG
2,2018-09-24,Shakib Al Hasan,BAN
3,2018-09-24,Mohammad Nabi,AFG
4,2018-09-24,Mitchell Santner,NZ
5,2018-09-24,Mohammad Hafeez,PAK
6,2018-09-24,Moeen Ali,ENG
7,2018-09-24,Angelo Mathews,SL
8,2018-09-24,Chris Woakes,ENG
9,2018-09-24,Jason Holder,WI
