Rank,date,fullName,nationality
9,2016-01-10,Paul Stirling,IRE
10,2016-01-10,Andre Russell,WI
11,2016-01-10,JP Duminy,SA
12,2016-01-10,Mohammad Nasir Hossain,BAN
13,2016-01-10,Marlon Samuels,WI
14,2016-01-10,Kevin O'Brien,IRE
15,2016-01-10,Suresh Raina,IND
16,2016-01-10,Mahmudullah,BAN
17,2016-01-10,Mitchell Starc,AUS
18,2016-01-10,Sean Williams,ZIM
19,2016-01-10,Ravichandran Ashwin,IND
20,2016-01-10,Corey Anderson,NZ
1,2016-01-11,Shakib Al Hasan,BAN
2,2016-01-11,Tillekeratne Dilshan,SL
3,2016-01-11,Glenn Maxwell,AUS
4,2016-01-11,James Faulkner,AUS
5,2016-01-11,Angelo Mathews,SL
6,2016-01-11,Mohammad Nabi,AFG
7,2016-01-11,Ravindra Jadeja,IND
8,2016-01-11,Moeen Ali,ENG
9,2016-01-11,Paul Stirling,IRE
10,2016-01-11,Andre Russell,WI
11,2016-01-11,JP Duminy,SA
12,2016-01-11,Mohammad Nasir Hossain,BAN
13,2016-01-11,Marlon Samuels,WI
14,2016-01-11,Kevin O'Brien,IRE
15,2016-01-11,Suresh Raina,IND
16,2016-01-11,Mahmudullah,BAN
17,2016-01-11,Mitchell Starc,AUS
18,2016-01-11,Sean Williams,ZIM
19,2016-01-11,Ravichandran Ashwin,IND
20,2016-01-11,Corey Anderson,NZ
1,2016-01-12,Shakib Al Hasan,BAN
2,2016-01-12,Tillekeratne Dilshan,SL
3,2016-01-12,James Faulkner,AUS
4,2016-01-12,Glenn Maxwell,AUS
5,2016-01-12,Angelo Mathews,SL
6,2016-01-12,Mohammad Nabi,AFG
7,2016-01-12,Moeen Ali,ENG
8,2016-01-12,Ravindra Jadeja,IND
9,2016-01-12,Paul Stirling,IRE
10,2016-01-12,Andre Russell,WI
11,2016-01-12,JP Duminy,SA
12,2016-01-12,Mohammad Nasir Hossain,BAN
13,2016-01-12,Marlon Samuels,WI
14,2016-01-12,Kevin O'Brien,IRE
15,2016-01-12,Suresh Raina,IND
16,2016-01-12,Mahmudullah,BAN
17,2016-01-12,Mitchell Starc,AUS
18,2016-01-12,Sean Williams,ZIM
19,2016-01-12,Corey Anderson,NZ
20,2016-01-12,Ravichandran Ashwin,IND
1,2016-01-13,Shakib Al Hasan,BAN
2,2016-01-13,Tillekeratne Dilshan,SL
3,2016-01-13,James Faulkner,AUS
4,2016-01-13,Glenn Maxwell,AUS
5,2016-01-13,Angelo Mathews,SL
6,2016-01-13,Mohammad Nabi,AFG
7,2016-01-13,Moeen Ali,ENG
8,2016-01-13,Ravindra Jadeja,IND
9,2016-01-13,Paul Stirling,IRE
10,2016-01-13,Andre Russell,WI
11,2016-01-13,JP Duminy,SA
12,2016-01-13,Mohammad Nasir Hossain,BAN
13,2016-01-13,Marlon Samuels,WI
14,2016-01-13,Kevin O'Brien,IRE
15,2016-01-13,Suresh Raina,IND
16,2016-01-13,Mahmudullah,BAN
17,2016-01-13,Mitchell Starc,AUS
18,2016-01-13,Sean Williams,ZIM
19,2016-01-13,Corey Anderson,NZ
20,2016-01-13,Ravichandran Ashwin,IND
